"Identificador URL";"Nome";"Categorias";"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";"Preço";"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"Código de barras";"Exibir na loja";"Frete gratis";"Descrição";"Tags";"Título para SEO";"Descrição para SEO";"Marca";"Produto Físico";"MPN (Cód. Exclusivo Modelo Fabricante)";"Sexo";"Faixa etária";"Custo"
"buque-estilo-3-rosas-brancas";"Buquê Estilo 3 Rosas Brancas";"Buques";"";"";"";"";"";"";"49.90";"";"";"";"";"";"";"5232";"";"SIM";"NÃO";"Buquê com 3 Rosas Brancas- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Amarelas, com folhagens e detalhes de mosquitinho, finalizado com papel celofane e laço de fita. Ideal para demonstrar amor, carinho e admiração em qualquer ocasião especial. Observação: as flores podem apresentar variações no estágio de abertura conforme a disponibilidade e a sazonalidade A cor da fita do laço poderá variar de acordo com a disponibilidade em estoque";"floricultura, buques";"Buquê Estilo 3 Rosas Brancas";"Buquê com 3 Rosas Brancas- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Amarelas, com folhagens e detalhes de mosq";"Praça Das Flores";"SIM";"";"";"";""
"buque-estilo-3-rosas-nacionais-coloridas-variadas";"Buquê Estilo 3 Rosas Nacionais Coloridas Variadas";"Buques";"";"";"";"";"";"";"49.90";"";"";"";"";"";"";"5240";"";"SIM";"NÃO";"Buquê com 3 Rosas Coloridas- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Coloridas, com folhagens e detalhes de mosquitinho, finalizado com papel celofane e laço de fita. Ideal para demonstrar amor, carinho e admiração em qualquer ocasião especial. Observação: as flores podem apresentar variações de tonalidade e estágio de abertura conforme a disponibilidade e a sazonalidade. A COR DAS FLORES PODEM VARIAR DE ACORDO COM A DISPONIBILIDADE.";"floricultura, buques";"Buquê Estilo 3 Rosas Nacionais Coloridas Variadas";"Buquê com 3 Rosas Coloridas- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Coloridas, com folhagens e detalhes de m";"Praça Das Flores";"SIM";"";"";"";""
"buque-fascinio-12-rosas-colombianas-vermelhas";"Buquê Fascínio 12 Rosas Colombianas Vermelhas";"Buques";"";"";"";"";"";"";"249.90";"";"";"";"";"";"";"3756";"";"SIM";"NÃO";"Chegou o dia de celebrar e surpreender aquela pessoa especial com um presente que demostre todo o amor e carinho que você sente Então, não há opção melhor do que o Buquê Fascínio composto por 12 Rosas Colombianas Vermelhas Na Praça Das Flores você encontra esse maravilhoso e sofisticado presente As rosas vermelhas são prefeitas para expressar a força e a intensidade da paixão, do amor e do carinho, sendo a melhor opção de presente também para Dia dos Namorados ou da pessoa amada. Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê Fascínio 12 Rosas Colombianas Vermelhas";"Chegou o dia de celebrar e surpreender aquela pessoa especial com um presente que demostre todo o amor e carinho que você sente Então, não há opção melhor do qu";"Praça Das Flores";"SIM";"";"";"";""
"buque-kraft-rosa-colombiana-e-ferrero-rocher";"Buquê Kraft Rosa Colombiana e Ferrero Rocher";"Buques";"";"";"";"";"";"";"129.90";"";"";"";"";"";"";"4658";"";"SIM";"NÃO";"Lindo buquê com três rosas colombianas embalagem no papel kraft Acompanha caixa de chocolate ferrero rocher 8 unidades Dimensões Aproximadas 18cm LX 20 cm A";"floricultura, buques";"Buquê Kraft Rosa Colombiana e Ferrero Rocher";"Lindo buquê com três rosas colombianas embalagem no papel kraft Acompanha caixa de chocolate ferrero rocher 8 unidades Dimensões Aproximadas 18cm LX 20 cm A";"Praça Das Flores";"SIM";"";"";"";""
"buque-master-com-12-rosas-colombianas";"Buquê Master com 12 Rosas Colombianas";"Buques";"";"";"";"";"";"";"259.90";"";"";"";"";"";"";"3302";"";"SIM";"NÃO";"Floricultura Praça Das Flores: Lindo buquê com 12 rosas colombianas Embalado em papel celofane e laço de fita A cor do papel pode variar de acordo com a disponibilidade em estoque . Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê Master com 12 Rosas Colombianas";"Floricultura Praça Das Flores: Lindo buquê com 12 rosas colombianas Embalado em papel celofane e laço de fita A cor do papel pode variar de acordo com a disponi";"Praça Das Flores";"SIM";"";"";"";""
"buque-ouro-6-rosas-amarelas";"Buquê Ouro 6 Rosas Amarelas";"Buques";"";"";"";"";"";"";"89.90";"";"";"";"";"";"";"5225";"";"SIM";"NÃO";"Buquê com 6 Rosas Amarelas - Celofane e Laço de Fita Um presente cheio de luz e boas energias. Buquê composto por 6 rosas amarelas, com folhagens, finalizado com papel celofane e laço de fita, perfeito para celebrar amizade, gratidão, novos começos e momentos especiais. Observação: as flores podem apresentar variações de tonalidade e estágio de abertura conforme a disponibilidade e a sazonalidade.";"floricultura, buques";"Buquê Ouro 6 Rosas Amarelas";"Buquê com 6 Rosas Amarelas - Celofane e Laço de Fita Um presente cheio de luz e boas energias. Buquê composto por 6 rosas amarelas, com folhagens, finalizado co";"Praça Das Flores";"SIM";"";"";"";""
"buque-paixao-com-5-rosa-colombinas";"Buquê Paixão com 5 Rosa Colombinas";"Buques";"";"";"";"";"";"";"159.90";"";"";"";"";"";"";"5411";"";"SIM";"NÃO";"Diga ""Te Amo"" com flores! Surpreenda quem faz seu coração bater mais forte com este lindo arranjo de 5 rosas colombianas premium,montqado em um elegante cachepô rígido decorado, prontinho para presentear. Acompanha cartão especial Te Amo. Acabamento sofisticado e presente ompleto e inesquecível. Porque algumas palavras merecem ser entregues da forma mais bonita possivel. Transforme seu sentimento em um presente que emociona, encanta e fica na memória.";"floricultura, buques";"Buquê Paixão com 5 Rosa Colombinas";"Diga ""Te Amo"" com flores! Surpreenda quem faz seu coração bater mais forte com este lindo arranjo de 5 rosas colombianas premium,montqado em um elegante cachepô";"Praça Das Flores";"SIM";"";"";"";""
"buque-premium-de-12-rosas";"Buquê Premium de 12 Rosas";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"5358";"";"SIM";"NÃO";"Intenso, elegante e eternamente marcante, este buquê traduz a beleza clássica das rosas nacionais, sendo um presente que transmite requinte, romantismo e presença. Buquê composto de 12 Rosas Nacionais vermelhas, gypsofila e folhagem verde, envolvido em celofane transparente e finalizado com delicado laço de fita. Um arranjo delicado, romântico e sofisticado, ideal para presentear em aniversários, datas especiais ou simplesmente como um gesto amor e carinho. Perfeito para surpreender com charme em ocasiões especiais e transformar o gesto em uma lembrança inesquecível. Dimensões aproximadas: 30 cm A x 30 cm diâmetro";"floricultura, buques";"Buquê Premium de 12 Rosas";"Intenso, elegante e eternamente marcante, este buquê traduz a beleza clássica das rosas nacionais, sendo um presente que transmite requinte, romantismo e presen";"Praça Das Flores";"SIM";"";"";"";""
"buque-rosa-branca-e-astromelia";"Buquê Rosa Branca e Astromélia";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"4637";"";"SIM";"NÃO";"Rosas brancas: uma bela forma de presentear quem é muito especial!!! Se o presente for para aquela pessoa querida, as rosas brancas podem transmitir paz, tranquilidade, pureza e charme, principalmente para quem deseja uma relação tranquila e muito feliz. Belissimo Buquê contendo: Seis de rosas branca, astromélias e folhagem verde para compor a ornamentação do arranjo, embalado em papel celofane com laço de fita. Acompanha caixa de Ferrero Roche com 8 unidades Dimensões Aproximadas: 30cm A x 28cm L";"floricultura, buques";"Buquê Rosa Branca e Astromélia";"Rosas brancas: uma bela forma de presentear quem é muito especial!!! Se o presente for para aquela pessoa querida, as rosas brancas podem transmitir paz, tranqu";"Praça Das Flores";"SIM";"";"";"";""
"buque-rosa-esplendor-colombianas-na-tela";"Buquê Rosa Esplendor Colombianas na Tela";"Buques";"";"";"";"";"";"";"249.90";"";"";"";"";"";"";"4652";"";"SIM";"NÃO";"Rosas colombianas são flores intensas e marcantes. As Rosas Vermelhas representam o amor profundo, sendo associadas com a perfeição e a beleza. Presentear com Rosas Vermelhas é uma forma consagrada pelo tempo de dizer ""eu te amo"". Este é um buquê maravilhoso e muito sofisticado Com acabamento da embalagem na tela aramada, fica ainda mais bonita as 10 rosas colombianas vermelhas acompanhada de folhagens verdes para compor o arranjo e delicado laço de fita, Este buquê é literalmente um arraso !!! Com certeza é a melhor maneira de encantar quem amamos e queremos surpreender. Dimensões Aproximadas: 40/45cm L x 40cm A";"floricultura, buques";"Buquê Rosa Esplendor Colombianas na Tela";"Rosas colombianas são flores intensas e marcantes. As Rosas Vermelhas representam o amor profundo, sendo associadas com a perfeição e a beleza. Presentear com R";"Praça Das Flores";"SIM";"";"";"";""
"buque-rosas-cor-de-rosa-com-12-unidades";"Buque Rosas Cor de Rosa com 12 Unidades";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"3540";"";"SIM";"NÃO";"Buquê com 12 rosas cor de rosa. Embalado em papel celofane com laço de fita. Em embalagem exclusiva Praça Das Flores. Ideal para presentar em qualquer ocasião.";"floricultura, buques";"Buque Rosas Cor de Rosa com 12 Unidades";"Buquê com 12 rosas cor de rosa. Embalado em papel celofane com laço de fita. Em embalagem exclusiva Praça Das Flores. Ideal para presentar em qualquer ocasião.";"Praça Das Flores";"SIM";"";"";"";""
"buque-sofisticado-de-lirio";"Buquê Sofisticado de Lírio";"Buques";"";"";"";"";"";"";"189.90";"";"";"";"";"";"";"5048";"";"SIM";"NÃO";"Uma composição delicada e sofisticada com lírios, rosas, astromélias, mosquitinho e cravos - todas em tons brancos - representando paz, amor eterno e pureza de sentimentos. Embalado com papel celofane e laço de fita o Buquê Especial Branco é ideal para homenagens, casamentos ou momentos especiais de carinho e gratidão. Lírio branco 6 rosa branca 3 galhos astromelia Gostou? Então confira outros modelos de Lírios e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê Sofisticado de Lírio";"Uma composição delicada e sofisticada com lírios, rosas, astromélias, mosquitinho e cravos - todas em tons brancos - representando paz, amor eterno e pureza de ";"Praça Das Flores";"SIM";"";"";"";""
"buque-tres-rosa-brancas-e-ferrero-rocher";"Buquê Três Rosa Brancas e Ferrero Rocher";"Buques";"";"";"";"";"";"";"99.99";"";"";"";"";"";"";"5323";"";"SIM";"NÃO";"Buquê com três botões de rosas nacionais e deliciosos bombons Ferrero Rocher com 8 unidades. São a melhor forma de demonstrar o seu sentimento a alguém. A delicadeza deste gesto de presentear deixa qualquer pessoa encantada por tão grandiosa forma de demonstrar carinho. Surpreenda!!!";"floricultura, buques";"Buquê Três Rosa Brancas e Ferrero Rocher";"Buquê com três botões de rosas nacionais e deliciosos bombons Ferrero Rocher com 8 unidades. São a melhor forma de demonstrar o seu sentimento a alguém. A delic";"Praça Das Flores";"SIM";"";"";"";""
"cesta-amor-dourado-rosa-nacional";"Cesta Amor Dourado Rosa Nacional";"Cestas com Flores";"";"";"";"";"";"";"139.90";"";"";"";"";"";"";"5155";"";"SIM";"NÃO";"Surpreenda quem você ama com a Cesta Amor Dourado, um presente sofisticado que une romance, delicadeza e sabor em uma composição irresistível. Esta charmosa cesta é composta por 3 rosas vermelhas colombianas, símbolo do amor verdadeiro, cuidadosamente harmonizadas com mosquitinhos (gypsophila) e folhagens selecionadas, criando um arranjo elegante e equilibrado. Para tornar o momento ainda mais especial, acompanha um chocolate Ferrero Rocher, referência em sofisticação e sabor, perfeito para adoçar a surpresa. Finalizada em cesta artesanal, com laços decorativos refinados e acabamento impecável, é ideal para Dia dos Namorados, aniversários, comemorações românticas, pedidos especiais ou simplesmente para demonstrar carinho e amor.";"floricultura, cestas com flores";"Cesta Amor Dourado Rosa Nacional";"Surpreenda quem você ama com a Cesta Amor Dourado, um presente sofisticado que une romance, delicadeza e sabor em uma composição irresistível. Esta charmosa ces";"Praça Das Flores";"SIM";"";"";"";""
"cesta-celebration-rosa-colombiana-chandon-baby-e-ferrero-rocher";"Cesta Celebration Rosa Colombiana Chandon Baby e Ferrero Rocher";"Cestas com Flores";"";"";"";"";"";"";"249.90";"";"";"";"";"";"";"3494";"";"SIM";"NÃO";"Linda Cesta contendo um Chandon Baby Reserve Brut de 187 ml, caixa de Ferrero Rocher com 12 unidades e um belíssimo arranjo com duas Rosas Colombianas para compor a decoração do presente. Gostou? Então confira outros modelos de Vinhos e Espumantes .";"floricultura, cestas com flores";"Cesta Celebration Rosa Colombiana Chandon Baby e Ferrero Rocher";"Linda Cesta contendo um Chandon Baby Reserve Brut de 187 ml, caixa de Ferrero Rocher com 12 unidades e um belíssimo arranjo com duas Rosas Colombianas para comp";"Praça Das Flores";"SIM";"";"";"";""
"cesta-de-cafe-da-manha-bon-jour-com-flores";"Cesta de Café da Manhã Bon Jour com Flores";"Cestas com Flores";"";"";"";"";"";"";"119.90";"";"";"";"";"";"";"5213";"";"SIM";"NÃO";"Uma combinação perfeita de flores e sabores para encantar em qualquer ocasião Esta cesta reúne um kalanchoe colorido, símbolo de alegria e durabilidade, acompanhado por uma seleção especial de itens para um momento delicioso e aconchegante. Conteúdo da cesta: - 1 Torrada Bauducco - 1 Pão de Mel - 2 Bolachas Club Social - 1 Suco de Frutas (200 ml) - 1 Sachê de Café Cappuccino - 2 Sachês de Chá de Ervas - Porções de açúcar e adoçante - 4 Porções de bolachas Bauducco - 1 Mini Bolo Bauducco - 2 Sachês de Geleia de Frutas -1 Kalanchoe colorido Ideal para presentear em aniversários, agradecimentos, desejos de melhoras, datas especiais ou para surpreender alguém com carinho e cuidado. Aviso importante A cor do kalanchoe pode variar de acordo com a disponibilidade em estoque e a época do ano, por se tratar de um produto natural. As imagens são meramente ilustrativas.";"floricultura, cestas com flores";"Cesta de Café da Manhã Bon Jour com Flores";"Uma combinação perfeita de flores e sabores para encantar em qualquer ocasião Esta cesta reúne um kalanchoe colorido, símbolo de alegria e durabilidade, acompan";"Praça Das Flores";"SIM";"";"";"";""
"cesta-de-cafe-da-manha-mae-bon-jour-com-flores";"Cesta de Café da Manhã Mãe Bon Jour com Flores";"Cestas com Flores";"";"";"";"";"";"";"129.90";"";"";"";"";"";"";"5352";"";"SIM";"NÃO";"Uma combinação perfeita de flores e sabores para encantar em qualquer ocasião Esta cesta reúne um kalanchoe colorido, símbolo de alegria e durabilidade, acompanhado por uma seleção especial de itens para um momento delicioso e aconchegante. Conteúdo da cesta: - 1 Torrada Bauducco - 1 Pão de Mel - 2 Bolachas Club Social - 1 Suco de Frutas (200 ml) - 1 Sachê de Café Cappuccino - 2 Sachês de Chá de Ervas - Porções de açúcar e adoçante - 4 Porções de bolachas Bauducco - 1 Mini Bolo Bauducco - 2 Sachês de Geleia de Frutas -1 Kalanchoe colorido Acompanha Cartão Mãe Ideal para presentear em aniversários, agradecimentos, desejos de melhoras, datas especiais ou para surpreender alguém com carinho e cuidado. Aviso importante A cor do kalanchoe pode variar de acordo com a disponibilidade em estoque e a época do ano, por se tratar de um produto natural. As imagens são meramente ilustrativas.";"floricultura, cestas com flores";"Cesta de Café da Manhã Mãe Bon Jour com Flores";"Uma combinação perfeita de flores e sabores para encantar em qualquer ocasião Esta cesta reúne um kalanchoe colorido, símbolo de alegria e durabilidade, acompan";"Praça Das Flores";"SIM";"";"";"";""
"cesta-de-chocolate-e-rosa-colombiana";"Cesta de Chocolate e Rosa Colombiana";"Cestas com Flores";"";"";"";"";"";"";"159.90";"";"";"";"";"";"";"4418";"";"SIM";"NÃO";"Floricultura Praça Das Flores - Linda cesta de vime contendo: Cesta de vime 1 botão de rosa colombiana 3 barras de chocolate (variada) 2 kit Kat 2 sonhos de valsa 1 caixa de chocolate Nestlé. Embalado em papel celofane e laço de fita - embalagem para presente exclusiva Praça Das Flores. Na falta de algum item poderá haver a sua substituição por item de igual ou valor superior. Dimensões Aproximadas da Cesta: 18cm Diâmetro x 28 cm Altura Confira outros modelos de Presentes Românticos na nossa seleção de Flores para o Dia dos Namorados";"floricultura, cestas com flores";"Cesta de Chocolate e Rosa Colombiana";"Floricultura Praça Das Flores - Linda cesta de vime contendo: Cesta de vime 1 botão de rosa colombiana 3 barras de chocolate (variada) 2 kit Kat 2 sonhos de val";"Praça Das Flores";"SIM";"";"";"";""
"cesta-de-margarida-dupla";"Cesta de Margarida Dupla";"Cestas com Flores";"";"";"";"";"";"";"89.90";"";"";"";"";"";"";"2847";"";"SIM";"NÃO";"Cesta finamente decorada com dois vasos de mini margarida Muito lindo !!! Gostou? Então confira outros modelos de Margaridas e surpreenda com um presente belíssimo.";"floricultura, cestas com flores";"Cesta de Margarida Dupla";"Cesta finamente decorada com dois vasos de mini margarida Muito lindo !!! Gostou? Então confira outros modelos de Margaridas e surpreenda com um presente belíss";"Praça Das Flores";"SIM";"";"";"";""
"cesta-de-vime-com-pelucia-e-rosas-colombianas";"Cesta de Vime Com Pelúcia e Rosas Colombianas";"Cestas com Flores";"";"";"";"";"";"";"179.90";"";"";"";"";"";"";"3759";"";"SIM";"NÃO";"Cesta de vime decorada com 4 rosas colombianas, e urso de pelúcia de 18 cm. O modelo do urso de pelúcia poderá variar de acordo com a disponibilidade em estoque Embalagem exclusiva Praça Das Flores Gostou? Então confira mais modelos de Flores e Pelúcias !";"floricultura, cestas com flores";"Cesta de Vime Com Pelúcia e Rosas Colombianas";"Cesta de vime decorada com 4 rosas colombianas, e urso de pelúcia de 18 cm. O modelo do urso de pelúcia poderá variar de acordo com a disponibilidade em estoque";"Praça Das Flores";"SIM";"";"";"";""
"cesta-de-violeta-dupla";"Cesta de Violeta Dupla";"Cestas com Flores";"";"";"";"";"";"";"84.90";"";"";"";"";"";"";"3148";"";"SIM";"NÃO";"Linda cesta com duas violetas decorada. As cores das flores podem variar de acordo com a disponibilidade da época. FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira outros modelos de Flores e Chocolates e surpreenda com um presente belíssimo.";"floricultura, cestas com flores";"Cesta de Violeta Dupla";"Linda cesta com duas violetas decorada. As cores das flores podem variar de acordo com a disponibilidade da época. FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES ";"Praça Das Flores";"SIM";"";"";"";""
"cesta-ferrero-rocher-com-colombiana";"Cesta Ferrero Rocher com Colombiana";"Cestas com Flores";"";"";"";"";"";"";"114.90";"";"";"";"";"";"";"5038";"";"SIM";"NÃO";"Cesta Ferrero Rocher com Colombiana Contendo: 1 Caixa de Ferrero Rocher 12 unidades 1 Rosa Colombiana Embalada no celofane transparente com laço, a decoração da cesta pode variar de acordo com a disponibilidade em estoque Dimensões aproximadas: 23cm de largura x 8cm de altura. Gostou? Ent&atilde;o confira outros modelos de Cestas de Chocolate e surpreenda com um presente bel&iacute;ssimo.";"floricultura, cestas com flores";"Cesta Ferrero Rocher com Colombiana";"Cesta Ferrero Rocher com Colombiana Contendo: 1 Caixa de Ferrero Rocher 12 unidades 1 Rosa Colombiana Embalada no celofane transparente com laço, a decoração da";"Praça Das Flores";"SIM";"";"";"";""
"cesta-flores-chocolate-e-chandon";"Cesta Flores Chocolate e Chandon";"Cestas com Flores";"";"";"";"";"";"";"239.90";"";"";"";"";"";"";"3983";"";"SIM";"NÃO";"Linda e delicada cesta com astromélias, Chandon baby 187 ml e caixa de Ferrero Rocher 12 unidades. Opção certa para presentear uma pessoa especial ou como forma de agradecimento. É possível incluir uma mensagem junto ao seu presente! Prossiga com a compra escreva mensagem do cartão FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira outros modelos de Presentes com Vinhos .";"floricultura, cestas com flores";"Cesta Flores Chocolate e Chandon";"Linda e delicada cesta com astromélias, Chandon baby 187 ml e caixa de Ferrero Rocher 12 unidades. Opção certa para presentear uma pessoa especial ou como forma";"Praça Das Flores";"SIM";"";"";"";""
"cesta-kalanchoe-e-chocolate";"Cesta Kalanchoe e Chocolate";"Cestas com Flores";"";"";"";"";"";"";"109.90";"";"";"";"";"";"";"3840";"";"SIM";"NÃO";"Cesta de vime decorada contendo: um vaso de Kalanchoe plantado ( A COR DA PLANTA PODERÁ VARIAR DE ACORDO COM A DISPONIBILIDADE EM ESTOQUE ) acompanhada de uma linda caixa de chocolate ao leite Bombonatti - Considerada uma planta que traz alegria e muita prosperidade, o kalanchoe ou como também é conhecida com Flor da Fortuna é ideal para presentear as pessoas que se quer bem. - Atenção: A imagem apresentada é similar ao produto que será entregue, podendo haver variações em suas características. Confira outros modelos de Presentes Românticos na nossa seleção de Flores para o Dia dos Namorados";"floricultura, cestas com flores";"Cesta Kalanchoe e Chocolate";"Cesta de vime decorada contendo: um vaso de Kalanchoe plantado ( A COR DA PLANTA PODERÁ VARIAR DE ACORDO COM A DISPONIBILIDADE EM ESTOQUE ) acompanhada de uma l";"Praça Das Flores";"SIM";"";"";"";""
"cesta-kalanchoe-e-pelucia";"Cesta Kalanchoe e Pelúcia";"Cestas com Flores";"";"";"";"";"";"";"124.90";"";"";"";"";"";"";"3839";"";"SIM";"NÃO";"Cesta de vime decorada contendo: Um vaso de Kalanchoe plantado ( A COR DA PLANTA PODERÁ VARIAR DE ACORDO COM A DISPONIBILIDADE EM ESTOQUE), acompanhada de um lindo urso de pelúcia de 18 cm Alt. ATENÇÃO: A imagem apresentada é similar ao produto que será entregue, podendo haver variações em suas características. Gostou? Então confira outros modelos de Flores e Pelúcias .";"floricultura, cestas com flores";"Cesta Kalanchoe e Pelúcia";"Cesta de vime decorada contendo: Um vaso de Kalanchoe plantado ( A COR DA PLANTA PODERÁ VARIAR DE ACORDO COM A DISPONIBILIDADE EM ESTOQUE), acompanhada de um li";"Praça Das Flores";"SIM";"";"";"";""
"cesta-luxo-chandon-flores-e-chocolate";"Cesta Luxo Chandon Flores e Chocolate";"Cestas com Flores";"";"";"";"";"";"";"349.90";"";"";"";"";"";"";"4914";"";"SIM";"NÃO";"Maravilhosa cesta de vime finamente decorada com tela aramada e fita Contendo: Mini Chandon Baby Caixa de Ferrero Roche com 8 unidades Arranjo com Cinco Rosas Colombianas Importadas Embalado para presente com celofane transparente e laço de fita Ideal para um presente sofisticado e diferenciado";"floricultura, cestas com flores";"Cesta Luxo Chandon Flores e Chocolate";"Maravilhosa cesta de vime finamente decorada com tela aramada e fita Contendo: Mini Chandon Baby Caixa de Ferrero Roche com 8 unidades Arranjo com Cinco Rosas C";"Praça Das Flores";"SIM";"";"";"";""
"cesta-mae-te-amo-com-margarida";"Cesta Mãe Te Amo com Margarida";"Cestas com Flores";"";"";"";"";"";"";"139.90";"";"";"";"";"";"";"5357";"";"SIM";"NÃO";"Cesta Mãe Te Amo com Margarida composta por: 1 Suco de frutas 200 ml 1 Achocolatado 200 ml 1 Club Social 1 Bolacha doce 1 Sachê de café solúvel 1 Mini bolo Bauducco 1 Pão de mel Bauducco 2 variedades de chá de ervas 3 Sachês de açúcar 3 Sachês de adoçante Acompanha 1 Cartão Mãe Embalada no celofane transparente com laço Dimensões aproximadas: 23cm de largura x 8cm de altura";"floricultura, cestas com flores";"Cesta Mãe Te Amo com Margarida";"Cesta Mãe Te Amo com Margarida composta por: 1 Suco de frutas 200 ml 1 Achocolatado 200 ml 1 Club Social 1 Bolacha doce 1 Sachê de café solúvel 1 Mini bolo Baud";"Praça Das Flores";"SIM";"";"";"";""
"cesta-margarida-e-guloseimas";"Cesta Margarida e Guloseimas";"Cestas com Flores";"";"";"";"";"";"";"165.90";"";"";"";"";"";"";"4188";"";"SIM";"NÃO";"Quer sair do convencional e dar um presente encantador para aquela pessoa especial? Linda cesta decorada e finamente embalada no papel celofane e laço de fita Embalagem exclusiva Praça Das Flores. Contendo: 1 Vaso de Mini Margarida 1 Bolacha Waffer Bauducco 1 Bolacha Oreo 1 Pão de mel Bauducco 2 Torradas Bauducco 1 Mini Bolo Bauducco 1 Suco de fruta 200 ml 1 Achocolatado 200 ml 2 Chás de Ervas 3 Açúcares 3 Adoçantes Esta pode ser uma ótima opção para cesta de café da tarde. Na falta de algum item poderá haver a sua substituição por produto de igual ou valor superior Dimensões Aproximadas da Cesta: 36 cm de diâmetro";"floricultura, cestas com flores";"Cesta Margarida e Guloseimas";"Quer sair do convencional e dar um presente encantador para aquela pessoa especial? Linda cesta decorada e finamente embalada no papel celofane e laço de fita E";"Praça Das Flores";"SIM";"";"";"";""
"cesta-pai-te-amo-com-margarida";"Cesta Pai Te Amo com Margarida";"Cestas com Flores";"";"";"";"";"";"";"139.90";"";"";"";"";"";"";"5041";"";"SIM";"NÃO";"Cesta Pai Te Amo com Margarida composta por: 1 Vaso de mini margarida 1 Suco de frutas 200 ml 1 Achocolatado 200 ml 1 Club Social 1 Bolacha doce 1 Sachê de café solúvel 1 Mini bolo Bauducco 1 Pão de mel Bauducco 2 variedades de chá de ervas 3 Sachês de açúcar 3 Sachês de adoçante Embalada no celofane transparente com laço Dimensões aproximadas: 23cm de largura x 8cm de altura";"floricultura, cestas com flores";"Cesta Pai Te Amo com Margarida";"Cesta Pai Te Amo com Margarida composta por: 1 Vaso de mini margarida 1 Suco de frutas 200 ml 1 Achocolatado 200 ml 1 Club Social 1 Bolacha doce 1 Sachê de café";"Praça Das Flores";"SIM";"";"";"";""
"cesta-rosas-colombianas-e-ferrero";"Cesta Rosas Colombianas e Ferrero";"Cestas com Flores";"";"";"";"";"";"";"149.90";"";"";"";"";"";"";"4602";"";"SIM";"NÃO";"Cesta de Vime contendo: Belíssimo Arranjo Floral com rosas colombianas importadas e chocolate Ferrero Collection (Bombons Sortidos) caixa com 77gr - 7 unidades Embalagem para presente exclusiva. Dimensões Aproximadas 30cmL x 43cmA x 30cmC Foto Ilustrativa - poderá haver pequenas alterações na embalagem de acordo com a disponibilidade em estoque.";"floricultura, cestas com flores";"Cesta Rosas Colombianas e Ferrero";"Cesta de Vime contendo: Belíssimo Arranjo Floral com rosas colombianas importadas e chocolate Ferrero Collection (Bombons Sortidos) caixa com 77gr - 7 unidades ";"Praça Das Flores";"SIM";"";"";"";""
"cesta-sweet-love-rosa-nacional-premium";"Cesta Sweet Love Rosa Nacional Premium";"Cestas com Flores";"";"";"";"";"";"";"149.90";"";"";"";"";"";"";"5154";"";"SIM";"NÃO";"Encante quem você ama com a Cesta Romântica com Rosas Vermelhas e Ursinho de Pelúcia, um presente delicado, apaixonante e cheio de significado. Essa linda cesta é composta por 3 rosas vermelhas colombianas, cuidadosamente selecionadas, acompanhadas de mosquitinhos (gypsophila) e folhagens especiais, criando uma composição elegante e harmoniosa. Para completar, um ursinho de pelúcia macio traz ainda mais ternura e carinho ao presente. Finalizada em cesta artesanal, com laço decorativo sofisticado, é perfeita para surpreender em Dia dos Namorados, aniversários, pedidos românticos, comemorações especiais ou simplesmente para dizer ""eu te amo"".";"floricultura, cestas com flores";"Cesta Sweet Love Rosa Nacional Premium";"Encante quem você ama com a Cesta Romântica com Rosas Vermelhas e Ursinho de Pelúcia, um presente delicado, apaixonante e cheio de significado. Essa linda cesta";"Praça Das Flores";"SIM";"";"";"";""
